Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,asymmetric,0.31,0.45605630701239946
75% Corpus,6,asymmetric,0.61,0.4176716731660084
75% Corpus,6,asymmetric,0.9099999999999999,0.4114142064114687
75% Corpus,6,asymmetric,symmetric,0.4318526048900653
75% Corpus,7,0.01,0.01,0.37042526918380453
75% Corpus,7,0.01,0.31,0.33193398754414577
75% Corpus,7,0.01,0.61,0.3853578156007287
75% Corpus,7,0.01,0.9099999999999999,0.30291537383349976
75% Corpus,7,0.01,symmetric,0.34598341105603364
75% Corpus,7,0.31,0.01,0.3718206856873132
75% Corpus,7,0.31,0.31,0.3880128106428193
75% Corpus,7,0.31,0.61,0.3989423577580223
75% Corpus,7,0.31,0.9099999999999999,0.4641712891423033
75% Corpus,7,0.31,symmetric,0.375553994472306
75% Corpus,7,0.61,0.01,0.4073622308821109
75% Corpus,7,0.61,0.31,0.3880350949178743
75% Corpus,7,0.61,0.61,0.4023567029140955
75% Corpus,7,0.61,0.9099999999999999,0.4164040574890275
75% Corpus,7,0.61,symmetric,0.36638448493562514
75% Corpus,7,0.9099999999999999,0.01,0.43933403270383814
75% Corpus,7,0.9099999999999999,0.31,0.3910323998725227
75% Corpus,7,0.9099999999999999,0.61,0.3735328144337014
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3600062354143572
75% Corpus,7,0.9099999999999999,symmetric,0.3733881095195922
75% Corpus,7,symmetric,0.01,0.34780840001697877
75% Corpus,7,symmetric,0.31,0.3615809570203559
75% Corpus,7,symmetric,0.61,0.34922838660899863
75% Corpus,7,symmetric,0.9099999999999999,0.32274448564562785
75% Corpus,7,symmetric,symmetric,0.338209682854162
75% Corpus,7,asymmetric,0.01,0.3329819810084285
75% Corpus,7,asymmetric,0.31,0.430643589436745
75% Corpus,7,asymmetric,0.61,0.4501578469911597
75% Corpus,7,asymmetric,0.9099999999999999,0.425148925338962
75% Corpus,7,asymmetric,symmetric,0.3981269877564187
75% Corpus,8,0.01,0.01,0.3606507901224302
75% Corpus,8,0.01,0.31,0.36011440437312586
75% Corpus,8,0.01,0.61,0.3945484878583372
75% Corpus,8,0.01,0.9099999999999999,0.41505698174871575
75% Corpus,8,0.01,symmetric,0.3727904594419298
75% Corpus,8,0.31,0.01,0.38838476371061226
75% Corpus,8,0.31,0.31,0.4139996148960977
75% Corpus,8,0.31,0.61,0.36572947495074254
75% Corpus,8,0.31,0.9099999999999999,0.3495624842048809
75% Corpus,8,0.31,symmetric,0.35811864000370086
75% Corpus,8,0.61,0.01,0.41995401073324085
75% Corpus,8,0.61,0.31,0.40544989152167954
75% Corpus,8,0.61,0.61,0.3767967211327319
75% Corpus,8,0.61,0.9099999999999999,0.38906354134477705
75% Corpus,8,0.61,symmetric,0.3729472469702041
75% Corpus,8,0.9099999999999999,0.01,0.45312353451960935
75% Corpus,8,0.9099999999999999,0.31,0.3791871712483148
75% Corpus,8,0.9099999999999999,0.61,0.3389767403975833
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.47252494894624214
75% Corpus,8,0.9099999999999999,symmetric,0.3759123715487246
75% Corpus,8,symmetric,0.01,0.3561429743175807
75% Corpus,8,symmetric,0.31,0.3949028458264384
75% Corpus,8,symmetric,0.61,0.37834238295706185
75% Corpus,8,symmetric,0.9099999999999999,0.33692440893815717
